EmployeeID,Name,Gender,Age,Department,JobRole,EducationLevel,JoiningDate,CountryCode,Country,PhoneNumber,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,LastLeaveDate,LeaveDayName,ProjectsHandled,TrainingHours,CustomerSatisfaction,LastPromotionYear,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,AttritionRisk,CustomerSatisfaction_missing
1,Steven Barnett,Other,57,Finance,Auditor,2,05-05-2016,91,India,6222371166,93531,33,9,03-07-2024,Wednesday,13,16,5.0,2020,9,1.9,4,No,1
2,Christopher Benson,Female,26,Sales,Sales Executive,2,20-08-2014,1,Canada,466649099,53706,24,1,05-01-2024,Friday,15,44,8.0,2014,11,5.03,1,No,0
3,Norman Lane,Other,59,Support,Helpdesk,1,17-05-2010,1,Canada,8302098565,105756,20,7,27-11-2024,Wednesday,7,62,7.0,2012,15,4.83,4,No,0
4,Rita Walker,Female,43,HR,HR Executive,3,20-06-2015,49,Germany,5555799735,176377,22,6,15-07-2024,Monday,15,8,5.0,2016,10,4.6,4,No,1
5,Judith Ware,Male,52,Sales,Account Manager,3,20-08-2019,49,Germany,4796634990,154782,18,16,17-12-2024,Tuesday,10,57,8.0,2022,6,3.73,4,No,0
6,Peggy Mann,Other,33,Support,Helpdesk,2,28-08-2018,1,Canada,7700893415,58647,34,5,01-10-2024,Tuesday,6,5,6.0,2020,7,2.37,3,Yes,0
7,Brenda Bauer,Male,55,IT,Engineer,2,13-09-2018,33,France,7686093398,70273,1,20,01-06-2024,Saturday,8,66,5.0,2024,7,6.47,1,Yes,1
8,Troy Ford,Female,51,HR,HR Executive,5,18-04-2016,49,Germany,4913421702,178909,33,22,26-10-2024,Saturday,3,78,5.0,2019,9,-0.27,3,Yes,1
9,Joel Fuller,Male,32,HR,HR Executive,2,26-05-2010,1,USA,6735814159,51014,40,11,20-07-2024,Saturday,6,10,5.0,2023,15,0.17,3,No,1
10,Cody Bright,Female,54,Finance,Accountant,3,16-06-2011,1,Canada,4503448285,63726,21,19,26-07-2024,Friday,1,25,5.0,2024,14,2.63,2,No,1
11,Sara Snyder,Other,52,HR,HR Executive,4,01-07-2015,1,USA,1917941056,64215,2,13,23-04-2024,Tuesday,6,21,5.0,2021,10,7.43,3,No,1
12,David Williams,Male,55,Support,Helpdesk,5,08-07-2011,91,India,8514067043,76960,14,2,10-05-2024,Friday,11,56,6.0,2017,14,6.87,5,No,0
13,Shannon Clark,Male,47,Finance,Accountant,3,26-06-2020,1,USA,3916634866,151391,8,20,09-10-2024,Wednesday,12,7,5.0,2022,5,5.07,4,No,1
14,Jeffery Lopez,Female,50,HR,HR Manager,1,28-12-2012,1,Canada,9076193823,170862,7,1,10-08-2024,Saturday,8,60,5.0,2022,13,8.43,4,No,1
15,Anna Dominguez,Male,26,IT,Developer,3,03-04-2018,1,Canada,6811045165,161974,6,3,28-06-2024,Friday,15,76,5.0,2024,7,8.3,3,No,1
16,Peter Mckee,Female,43,Marketing,SEO Analyst,3,07-05-2020,44,UK,1059843256,164012,1,19,19-03-2024,Tuesday,10,10,5.0,2020,5,6.63,3,No,1
17,Connie Bailey,Other,41,Support,Support Engineer,3,16-10-2014,1,USA,8754243104,70403,10,14,01-08-2024,Thursday,6,42,9.0,2019,11,5.67,3,No,0
18,Taylor Morris,Female,39,IT,Tester,4,13-08-2010,1,USA,9897470350,173689,21,11,14-04-2024,Sunday,3,76,5.0,2020,15,3.97,3,No,1
19,Nicole Roberts,Male,47,Support,Helpdesk,2,09-03-2010,91,India,3323124401,122403,9,17,28-04-2024,Sunday,4,20,9.0,2015,15,5.37,1,Yes,0
20,Megan Williams,Other,23,Support,Support Engineer,1,24-05-2015,1,Canada,5598758861,65010,2,29,09-12-2024,Monday,11,12,8.0,2015,10,4.77,3,Yes,0
21,Clinton Scott,Female,54,Support,Support Engineer,2,26-05-2023,91,India,6018284714,75646,20,7,10-04-2024,Wednesday,4,50,8.0,2024,2,4.83,3,No,0
22,Erin Massey,Other,60,Sales,Sales Executive,1,12-08-2011,49,Germany,7469986242,130906,18,28,20-05-2024,Monday,8,23,10.0,2013,14,1.73,4,No,0
23,Ashley Marsh,Male,42,IT,Tester,5,15-03-2019,1,USA,9273445107,176048,19,17,22-09-2024,Sunday,3,34,5.0,2022,6,3.37,3,Yes,1
24,Jasmine Gonzalez,Female,57,IT,Tester,2,02-05-2022,33,France,7750072723,68060,31,30,21-05-2024,Tuesday,12,15,5.0,2023,3,-1.2,2,Yes,1
25,Sharon Lane,Other,59,Marketing,Content Lead,4,07-07-2020,1,USA,1369768938,62282,35,5,17-04-2024,Wednesday,15,63,5.0,2021,5,2.17,4,No,1
26,David Maldonado,Other,28,Marketing,SEO Analyst,4,16-12-2023,1,Canada,9674960322,89567,29,13,17-02-2024,Saturday,15,65,5.0,2024,2,2.03,3,No,1
27,Sheryl Lopez,Other,33,Sales,Sales Executive,4,12-12-2014,44,UK,1300146507,82449,31,19,15-10-2024,Tuesday,9,36,1.0,2014,11,0.63,4,Yes,0
28,Patricia Jones,Female,52,Marketing,Content Lead,4,07-05-2021,91,India,2775889565,41883,20,11,16-05-2024,Thursday,1,28,5.0,2022,4,4.17,2,No,1
29,Samantha Conley,Male,46,Finance,Accountant,1,06-11-2010,1,USA,1008830314,74577,37,11,02-10-2024,Wednesday,6,73,5.0,2012,15,0.77,3,Yes,1
30,Matthew Gutierrez,Male,23,Support,Support Engineer,2,24-10-2013,44,UK,7654890591,104549,38,30,07-06-2024,Friday,6,80,4.0,2022,12,-2.6,4,Yes,0
31,Nicholas Duncan,Other,60,IT,Developer,5,21-12-2021,44,UK,1182033931,74638,39,4,03-04-2024,Wednesday,7,12,5.0,2024,4,1.53,4,No,1
32,Andrew Contreras,Male,50,Marketing,Content Lead,5,19-10-2020,1,Canada,2060275944,103189,8,18,02-11-2024,Saturday,4,44,5.0,2023,5,5.4,3,No,1
33,Ashley Hall,Male,43,IT,Tester,2,03-06-2013,91,India,226641433,41254,9,23,19-02-2024,Monday,13,33,5.0,2020,12,4.37,1,Yes,1
34,Justin Lawrence,Male,33,IT,Engineer,4,05-08-2017,49,Germany,7331004145,152027,24,2,02-01-2024,Tuesday,11,7,5.0,2018,8,4.87,3,No,1
35,Jessica Jones,Male,27,Marketing,SEO Analyst,5,26-05-2021,1,Canada,1240068862,109614,21,0,01-07-2024,Monday,5,56,5.0,2021,4,5.8,4,No,1
36,Maria Smith,Male,32,Finance,Auditor,4,15-08-2018,44,UK,6790929153,38475,25,24,15-03-2024,Friday,7,79,5.0,2024,7,1.0,3,No,1
37,Bryan Garcia,Male,43,Marketing,Content Lead,2,12-02-2019,1,Canada,5345996573,72671,32,16,09-12-2024,Monday,5,80,5.0,2023,6,0.93,3,No,1
38,Breanna Chapman,Male,58,Finance,Accountant,4,02-04-2010,1,Canada,6629492075,34306,28,14,03-09-2024,Tuesday,8,61,5.0,2023,15,2.07,4,No,1
