employee_id,name,department,job_role,matched_skills,missing_skills,total_required_skills,total_matched_skills,missing_skills_count,skill_gap_percentage,readiness_score
1,Steven Barnett,Finance,Auditor,Compliance; Excel; Internal Auditing; Risk Assessment,Financial Analysis; Forensic Accounting,6,4,2,33.33,66.67
2,Christopher Benson,Sales,Sales Executive,Communication; Contract Closing; Crm; Lead Generation; Negotiation,B2B Sales,6,5,1,16.67,83.33
3,Norman Lane,Support,Helpdesk,Active Directory; Customer Service; Hardware Support; Ticketing Systems,Windows Os,5,4,1,20.0,80.0
4,Rita Walker,HR,HR Executive,Communication; Hris; Onboarding; Recruitment,Hr Operations,5,4,1,20.0,80.0
5,Judith Ware,Sales,Account Manager,Account Planning; Client Retention; Contract Negotiation,Crm (Salesforce); Upselling,5,3,2,40.0,60.0
6,Peggy Mann,Support,Helpdesk,Active Directory; Customer Service; Ticketing Systems,Hardware Support; Windows Os,5,3,2,40.0,60.0
7,Brenda Bauer,IT,Engineer,Cloud Infrastructure; Git; Networking,Linux; Python; Security,6,3,3,50.0,50.0
8,Troy Ford,HR,HR Executive,Communication; Hr Operations; Onboarding,Hris; Recruitment,5,3,2,40.0,60.0
9,Joel Fuller,HR,HR Executive,Communication; Hr Operations; Hris; Onboarding; Recruitment,,5,5,0,0.0,100.0
10,Cody Bright,Finance,Accountant,Auditing; Erp Systems; Excel; Financial Accounting; Quickbooks,Tax Compliance,6,5,1,16.67,83.33
11,Sara Snyder,HR,HR Executive,Communication; Hr Operations; Hris; Recruitment,Onboarding,5,4,1,20.0,80.0
12,David Williams,Support,Helpdesk,Active Directory; Customer Service; Hardware Support; Windows Os,Ticketing Systems,5,4,1,20.0,80.0
13,Shannon Clark,Finance,Accountant,Auditing; Erp Systems; Quickbooks; Tax Compliance,Excel; Financial Accounting,6,4,2,33.33,66.67
14,Jeffery Lopez,HR,HR Manager,Employee Relations; Labor Law; Leadership; Performance Management; Talent Acquisition,Hris,6,5,1,16.67,83.33
15,Anna Dominguez,IT,Developer,Docker; Git; Sql; System Design,Python; Rest Apis,6,4,2,33.33,66.67
16,Peter Mckee,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics; Keyword Research,Google Search Console; Technical Seo,5,3,2,40.0,60.0
17,Connie Bailey,Support,Support Engineer,Bash Scripting; Customer Support; Itil; Sql; Troubleshooting,Linux,6,5,1,16.67,83.33
18,Taylor Morris,IT,Tester,Api Testing; Jira; Python; Selenium; Test Automation,Unit Testing,6,5,1,16.67,83.33
19,Nicole Roberts,Support,Helpdesk,Active Directory; Customer Service; Hardware Support; Ticketing Systems,Windows Os,5,4,1,20.0,80.0
20,Megan Williams,Support,Support Engineer,Bash Scripting; Itil; Linux; Troubleshooting,Customer Support; Sql,6,4,2,33.33,66.67
21,Clinton Scott,Support,Support Engineer,Bash Scripting; Customer Support; Sql,Itil; Linux; Troubleshooting,6,3,3,50.0,50.0
22,Erin Massey,Sales,Sales Executive,B2B Sales; Contract Closing; Crm; Lead Generation; Negotiation,Communication,6,5,1,16.67,83.33
