employee_id,name,department,job_role,skill_name,proficiency_level
1,Steven Barnett,Finance,Auditor,Compliance,Advanced
1,Steven Barnett,Finance,Auditor,Internal Auditing,Advanced
1,Steven Barnett,Finance,Auditor,Data Literacy,Advanced
1,Steven Barnett,Finance,Auditor,Risk Assessment,Advanced
1,Steven Barnett,Finance,Auditor,Excel,Advanced
2,Christopher Benson,Sales,Sales Executive,Contract Closing,Advanced
2,Christopher Benson,Sales,Sales Executive,CRM,Advanced
2,Christopher Benson,Sales,Sales Executive,Lead Generation,Advanced
2,Christopher Benson,Sales,Sales Executive,Negotiation,Advanced
2,Christopher Benson,Sales,Sales Executive,Communication,Advanced
3,Norman Lane,Support,Helpdesk,Ticketing Systems,Advanced
3,Norman Lane,Support,Helpdesk,Hardware Support,Advanced
3,Norman Lane,Support,Helpdesk,Active Directory,Advanced
3,Norman Lane,Support,Helpdesk,Customer Service,Advanced
3,Norman Lane,Support,Helpdesk,Communication,Advanced
4,Rita Walker,HR,HR Executive,Recruitment,Advanced
4,Rita Walker,HR,HR Executive,HRIS,Advanced
4,Rita Walker,HR,HR Executive,Onboarding,Advanced
4,Rita Walker,HR,HR Executive,Communication,Advanced
5,Judith Ware,Sales,Account Manager,Client Retention,Intermediate
5,Judith Ware,Sales,Account Manager,Contract Negotiation,Intermediate
5,Judith Ware,Sales,Account Manager,Account Planning,Intermediate
5,Judith Ware,Sales,Account Manager,Agile Methodology,Intermediate
6,Peggy Mann,Support,Helpdesk,Active Directory,Advanced
6,Peggy Mann,Support,Helpdesk,Data Literacy,Advanced
6,Peggy Mann,Support,Helpdesk,Customer Service,Advanced
6,Peggy Mann,Support,Helpdesk,Ticketing Systems,Advanced
7,Brenda Bauer,IT,Engineer,Cloud Infrastructure,Advanced
7,Brenda Bauer,IT,Engineer,Git,Advanced
7,Brenda Bauer,IT,Engineer,Networking,Advanced
7,Brenda Bauer,IT,Engineer,Agile Methodology,Advanced
8,Troy Ford,HR,HR Executive,HR Operations,Advanced
8,Troy Ford,HR,HR Executive,Communication,Advanced
8,Troy Ford,HR,HR Executive,Onboarding,Advanced
8,Troy Ford,HR,HR Executive,Data Literacy,Advanced
9,Joel Fuller,HR,HR Executive,HR Operations,Advanced
9,Joel Fuller,HR,HR Executive,Onboarding,Advanced
9,Joel Fuller,HR,HR Executive,Communication,Advanced
9,Joel Fuller,HR,HR Executive,Recruitment,Advanced
9,Joel Fuller,HR,HR Executive,HRIS,Advanced
10,Cody Bright,Finance,Accountant,QuickBooks,Advanced
10,Cody Bright,Finance,Accountant,Auditing,Advanced
10,Cody Bright,Finance,Accountant,ERP Systems,Advanced
10,Cody Bright,Finance,Accountant,Financial Accounting,Advanced
10,Cody Bright,Finance,Accountant,Critical Thinking,Advanced
10,Cody Bright,Finance,Accountant,Excel,Advanced
11,Sara Snyder,HR,HR Executive,HR Operations,Advanced
11,Sara Snyder,HR,HR Executive,Communication,Advanced
11,Sara Snyder,HR,HR Executive,Data Literacy,Advanced
11,Sara Snyder,HR,HR Executive,Recruitment,Advanced
11,Sara Snyder,HR,HR Executive,HRIS,Advanced
12,David Williams,Support,Helpdesk,Hardware Support,Advanced
12,David Williams,Support,Helpdesk,Windows OS,Advanced
12,David Williams,Support,Helpdesk,Active Directory,Advanced
12,David Williams,Support,Helpdesk,Customer Service,Advanced
12,David Williams,Support,Helpdesk,Data Literacy,Advanced
13,Shannon Clark,Finance,Accountant,QuickBooks,Intermediate
13,Shannon Clark,Finance,Accountant,Tax Compliance,Intermediate
13,Shannon Clark,Finance,Accountant,Auditing,Intermediate
13,Shannon Clark,Finance,Accountant,ERP Systems,Intermediate
13,Shannon Clark,Finance,Accountant,Agile Methodology,Intermediate
14,Jeffery Lopez,HR,HR Manager,Labor Law,Advanced
14,Jeffery Lopez,HR,HR Manager,Talent Acquisition,Advanced
14,Jeffery Lopez,HR,HR Manager,Leadership,Advanced
14,Jeffery Lopez,HR,HR Manager,Performance Management,Advanced
14,Jeffery Lopez,HR,HR Manager,Data Literacy,Advanced
14,Jeffery Lopez,HR,HR Manager,Employee Relations,Advanced
15,Anna Dominguez,IT,Developer,Git,Advanced
15,Anna Dominguez,IT,Developer,Docker,Advanced
15,Anna Dominguez,IT,Developer,System Design,Advanced
15,Anna Dominguez,IT,Developer,Critical Thinking,Advanced
15,Anna Dominguez,IT,Developer,SQL,Advanced
16,Peter Mckee,Marketing,SEO Analyst,Google Analytics,Intermediate
16,Peter Mckee,Marketing,SEO Analyst,Keyword Research,Intermediate
16,Peter Mckee,Marketing,SEO Analyst,Ahrefs / SEMrush,Intermediate
16,Peter Mckee,Marketing,SEO Analyst,Data Literacy,Intermediate
17,Connie Bailey,Support,Support Engineer,Troubleshooting,Advanced
17,Connie Bailey,Support,Support Engineer,Customer Support,Advanced
17,Connie Bailey,Support,Support Engineer,ITIL,Advanced
17,Connie Bailey,Support,Support Engineer,Bash Scripting,Advanced
17,Connie Bailey,Support,Support Engineer,Critical Thinking,Advanced
17,Connie Bailey,Support,Support Engineer,SQL,Advanced
18,Taylor Morris,IT,Tester,Python,Advanced
18,Taylor Morris,IT,Tester,JIRA,Advanced
18,Taylor Morris,IT,Tester,Selenium,Advanced
18,Taylor Morris,IT,Tester,Test Automation,Advanced
18,Taylor Morris,IT,Tester,API Testing,Advanced
18,Taylor Morris,IT,Tester,Data Literacy,Advanced
19,Nicole Roberts,Support,Helpdesk,Ticketing Systems,Advanced
19,Nicole Roberts,Support,Helpdesk,Hardware Support,Advanced
19,Nicole Roberts,Support,Helpdesk,Active Directory,Advanced
19,Nicole Roberts,Support,Helpdesk,Critical Thinking,Advanced
19,Nicole Roberts,Support,Helpdesk,Customer Service,Advanced
20,Megan Williams,Support,Support Engineer,Troubleshooting,Advanced
20,Megan Williams,Support,Support Engineer,Linux,Advanced
20,Megan Williams,Support,Support Engineer,ITIL,Advanced
20,Megan Williams,Support,Support Engineer,Bash Scripting,Advanced
20,Megan Williams,Support,Support Engineer,Data Literacy,Advanced
21,Clinton Scott,Support,Support Engineer,Bash Scripting,Beginner
21,Clinton Scott,Support,Support Engineer,Communication,Beginner
21,Clinton Scott,Support,Support Engineer,SQL,Beginner
21,Clinton Scott,Support,Support Engineer,Customer Support,Beginner
22,Erin Massey,Sales,Sales Executive,Contract Closing,Advanced
22,Erin Massey,Sales,Sales Executive,CRM,Advanced
22,Erin Massey,Sales,Sales Executive,Lead Generation,Advanced
22,Erin Massey,Sales,Sales Executive,B2B Sales,Advanced
22,Erin Massey,Sales,Sales Executive,Negotiation,Advanced
22,Erin Massey,Sales,Sales Executive,Agile Methodology,Advanced
23,Ashley Marsh,IT,Tester,Python,Intermediate
23,Ashley Marsh,IT,Tester,Selenium,Intermediate
23,Ashley Marsh,IT,Tester,API Testing,Intermediate
23,Ashley Marsh,IT,Tester,Critical Thinking,Intermediate
23,Ashley Marsh,IT,Tester,Unit Testing,Intermediate
24,Jasmine Gonzalez,IT,Tester,Python,Intermediate
24,Jasmine Gonzalez,IT,Tester,API Testing,Intermediate
24,Jasmine Gonzalez,IT,Tester,Selenium,Intermediate
24,Jasmine Gonzalez,IT,Tester,Data Literacy,Intermediate
25,Sharon Lane,Marketing,Content Lead,SEO,Intermediate
25,Sharon Lane,Marketing,Content Lead,Team Leadership,Intermediate
25,Sharon Lane,Marketing,Content Lead,Content Strategy,Intermediate
25,Sharon Lane,Marketing,Content Lead,Critical Thinking,Intermediate
25,Sharon Lane,Marketing,Content Lead,Editorial Planning,Intermediate
26,David Maldonado,Marketing,SEO Analyst,Google Analytics,Beginner
26,David Maldonado,Marketing,SEO Analyst,Ahrefs / SEMrush,Beginner
26,David Maldonado,Marketing,SEO Analyst,Data Literacy,Beginner
27,Sheryl Lopez,Sales,Sales Executive,Data Literacy,Advanced
27,Sheryl Lopez,Sales,Sales Executive,Contract Closing,Advanced
27,Sheryl Lopez,Sales,Sales Executive,CRM,Advanced
27,Sheryl Lopez,Sales,Sales Executive,B2B Sales,Advanced
27,Sheryl Lopez,Sales,Sales Executive,Negotiation,Advanced
27,Sheryl Lopez,Sales,Sales Executive,Communication,Advanced
28,Patricia Jones,Marketing,Content Lead,SEO,Intermediate
28,Patricia Jones,Marketing,Content Lead,Content Strategy,Intermediate
28,Patricia Jones,Marketing,Content Lead,Communication,Intermediate
28,Patricia Jones,Marketing,Content Lead,Copywriting,Intermediate
29,Samantha Conley,Finance,Accountant,QuickBooks,Advanced
29,Samantha Conley,Finance,Accountant,Tax Compliance,Advanced
29,Samantha Conley,Finance,Accountant,Auditing,Advanced
29,Samantha Conley,Finance,Accountant,Financial Accounting,Advanced
29,Samantha Conley,Finance,Accountant,Communication,Advanced
29,Samantha Conley,Finance,Accountant,Excel,Advanced
30,Matthew Gutierrez,Support,Support Engineer,Troubleshooting,Advanced
30,Matthew Gutierrez,Support,Support Engineer,Linux,Advanced
30,Matthew Gutierrez,Support,Support Engineer,Customer Support,Advanced
30,Matthew Gutierrez,Support,Support Engineer,ITIL,Advanced
30,Matthew Gutierrez,Support,Support Engineer,Critical Thinking,Advanced
30,Matthew Gutierrez,Support,Support Engineer,SQL,Advanced
31,Nicholas Duncan,IT,Developer,Docker,Intermediate
31,Nicholas Duncan,IT,Developer,REST APIs,Intermediate
31,Nicholas Duncan,IT,Developer,System Design,Intermediate
31,Nicholas Duncan,IT,Developer,SQL,Intermediate
31,Nicholas Duncan,IT,Developer,Agile Methodology,Intermediate
32,Andrew Contreras,Marketing,Content Lead,Team Leadership,Intermediate
32,Andrew Contreras,Marketing,Content Lead,Content Strategy,Intermediate
32,Andrew Contreras,Marketing,Content Lead,Editorial Planning,Intermediate
32,Andrew Contreras,Marketing,Content Lead,Communication,Intermediate
32,Andrew Contreras,Marketing,Content Lead,Copywriting,Intermediate
33,Ashley Hall,IT,Tester,JIRA,Advanced
33,Ashley Hall,IT,Tester,Selenium,Advanced
33,Ashley Hall,IT,Tester,API Testing,Advanced
33,Ashley Hall,IT,Tester,Unit Testing,Advanced
33,Ashley Hall,IT,Tester,Data Literacy,Advanced
34,Justin Lawrence,IT,Engineer,Git,Advanced
34,Justin Lawrence,IT,Engineer,Networking,Advanced
34,Justin Lawrence,IT,Engineer,Data Literacy,Advanced
34,Justin Lawrence,IT,Engineer,Security,Advanced
34,Justin Lawrence,IT,Engineer,Cloud Infrastructure,Advanced
35,Jessica Jones,Marketing,SEO Analyst,Google Analytics,Intermediate
35,Jessica Jones,Marketing,SEO Analyst,Keyword Research,Intermediate
35,Jessica Jones,Marketing,SEO Analyst,Data Literacy,Intermediate
35,Jessica Jones,Marketing,SEO Analyst,Google Search Console,Intermediate
36,Maria Smith,Finance,Auditor,Internal Auditing,Advanced
36,Maria Smith,Finance,Auditor,Financial Analysis,Advanced
36,Maria Smith,Finance,Auditor,Risk Assessment,Advanced
36,Maria Smith,Finance,Auditor,Agile Methodology,Advanced
36,Maria Smith,Finance,Auditor,Excel,Advanced
37,Bryan Garcia,Marketing,Content Lead,Team Leadership,Intermediate
37,Bryan Garcia,Marketing,Content Lead,Content Strategy,Intermediate
37,Bryan Garcia,Marketing,Content Lead,Editorial Planning,Intermediate
37,Bryan Garcia,Marketing,Content Lead,Agile Methodology,Intermediate
37,Bryan Garcia,Marketing,Content Lead,Copywriting,Intermediate
38,Breanna Chapman,Finance,Accountant,QuickBooks,Advanced
38,Breanna Chapman,Finance,Accountant,Auditing,Advanced
38,Breanna Chapman,Finance,Accountant,Financial Accounting,Advanced
